,AIC,Concordance,BIC,Train LL,Test LL,Mean ST,Median ST
Weibull,3374.26,0.81,3374.26,-3.61,-3.62,106.2,16.29
LogNormal,3254.53,0.81,3254.53,-3.48,-3.54,138.11,17.07
LogLogistic,3276.04,0.8,3276.04,-3.5,-3.56,,16.46
